이름	그룹	프로필	사용	작업	다시 정의	프로그램	로컬 주소	원격 주소	프로토콜	로컬 포트	원격 포트	권한이 부여된 사용자	권한이 부여된 컴퓨터	권한 있는 로컬 보안 주체	로컬 사용자 소유자	응용 프로그램 패키지	
SCW 원격 액세스 방화벽 규칙 - Scshost - 끝점 RPC 매퍼	Windows 보안 구성 마법사	모두	아니요	허용	아니요	%systemroot%\system32\scshost.exe	모두	모두	TCP	RPC 끝점 매퍼	모두	모두	모두	모두	모두	모두	
SCW 원격 액세스 방화벽 규칙 - Scshost - 동적 RPC	Windows 보안 구성 마법사	모두	아니요	허용	아니요	%systemroot%\system32\scshost.exe	모두	모두	TCP	RPC 동적 포트	모두	모두	모두	모두	모두	모두	
SCW 원격 액세스 방화벽 규칙 - Svchost - TCP	Windows 보안 구성 마법사	모두	아니요	허용	아니요	%systemroot%\system32\svchost.exe	모두	모두	TCP	135	모두	모두	모두	모두	모두	모두	
Windows 원격 관리(HTTP-In)	Windows 원격 관리	공용	예	허용	아니요	System	모두	로컬 서브넷	TCP	5985	모두	모두	모두	모두	모두	모두	
Windows 원격 관리(HTTP-In)	Windows 원격 관리	도메인, 개인	예	허용	아니요	System	모두	모두	TCP	5985	모두	모두	모두	모두	모두	모두	
Windows 원격 관리 - 호환 모드(HTTP-In)	Windows 원격 관리(호환성)	모두	아니요	허용	아니요	System	모두	모두	TCP	80	모두	모두	모두	모두	모두	모두	
WMI(Windows Management Instrumentation)(ASync-In)	WMI(Windows Management Instrumentation)	모두	아니요	허용	아니요	%systemroot%\system32\wbem\unsecapp.exe	모두	모두	TCP	모두	모두	모두	모두	모두	모두	모두	
WMI(Windows Management Instrumentation)(DCOM-In)	WMI(Windows Management Instrumentation)	모두	아니요	허용	아니요	%SystemRoot%\system32\svchost.exe	모두	모두	TCP	135	모두	모두	모두	모두	모두	모두	
WMI(Windows Management Instrumentation)(WMI-In)	WMI(Windows Management Instrumentation)	모두	아니요	허용	아니요	%SystemRoot%\system32\svchost.exe	모두	모두	TCP	모두	모두	모두	모두	모두	모두	모두	
World Wide Web 서비스(HTTP 트래픽 인)	World Wide Web 서비스(HTTP)	모두	예	허용	아니요	System	모두	모두	TCP	80	모두	모두	모두	모두	모두	모두	
가상 컴퓨터 모니터링(DCOM-In)	가상 컴퓨터 모니터링	모두	아니요	허용	아니요	%SystemRoot%\system32\svchost.exe	모두	모두	TCP	135	모두	모두	모두	모두	모두	모두	
가상 컴퓨터 모니터링(NB-Session-In)	가상 컴퓨터 모니터링	모두	아니요	허용	아니요	모두	모두	모두	TCP	139	모두	모두	모두	모두	모두	모두	
가상 컴퓨터 모니터링(RPC)	가상 컴퓨터 모니터링	모두	아니요	허용	아니요	%SystemRoot%\system32\svchost.exe	모두	모두	TCP	RPC 동적 포트	모두	모두	모두	모두	모두	모두	
가상 컴퓨터 모니터링(에코 요청 - ICMPv4-In)	가상 컴퓨터 모니터링	모두	아니요	허용	아니요	모두	모두	모두	ICMPv4	모두	모두	모두	모두	모두	모두	모두	
가상 컴퓨터 모니터링(에코 요청 - ICMPv6-In)	가상 컴퓨터 모니터링	모두	아니요	허용	아니요	모두	모두	모두	ICMPv6	모두	모두	모두	모두	모두	모두	모두	
